Country,Horizon,Return,Asset Class
Afghanistan,YTD,5.691031667,Equity
Afghanistan,YTD,12.19917892,Bond
Afghanistan,YTD,2.585056672,FX
Åland Islands,YTD,-2.960465267,Equity
Åland Islands,YTD,-3.958039576,Bond
Åland Islands,YTD,-0.6907406379,FX
Albania,YTD,25.88528929,Equity
Albania,YTD,-5.759496405,Bond
Albania,YTD,1.351840949,FX
Algeria,YTD,3.612188355,Equity
Algeria,YTD,1.667510356,Bond
Algeria,YTD,0.5765931927,FX
American Samoa,YTD,-14.99994621,Equity
American Samoa,YTD,3.041310266,Bond
American Samoa,YTD,-2.153194172,FX
Andorra,YTD,-7.427588971,Equity
Andorra,YTD,7.276574431,Bond
Andorra,YTD,-0.9007612635,FX
Angola,YTD,-27.1028305,Equity
Angola,YTD,-1.642456647,Bond
Angola,YTD,1.868592,FX
Anguilla,YTD,-2.63108636,Equity
Anguilla,YTD,-8.787021381,Bond
Anguilla,YTD,2.622264226,FX
Antarctica,YTD,22.68185562,Equity
Antarctica,YTD,-0.3984520417,Bond
Antarctica,YTD,2.300859889,FX
Antigua and Barbuda,YTD,30.98183722,Equity
Antigua and Barbuda,YTD,-3.256031729,Bond
Antigua and Barbuda,YTD,4.676565678,FX
Argentina,YTD,-15.27037129,Equity
Argentina,YTD,6.111141814,Bond
Argentina,YTD,-2.648773161,FX
Armenia,YTD,12.26353297,Equity
Armenia,YTD,-5.795860132,Bond
Armenia,YTD,-0.3968353926,FX
Aruba,YTD,-22.44490519,Equity
Aruba,YTD,-3.000081776,Bond
Aruba,YTD,2.466527252,FX
Australia,YTD,-15.037357,Equity
Australia,YTD,-0.2925478899,Bond
Australia,YTD,-0.04914852315,FX
Austria,YTD,-0.5433909232,Equity
Austria,YTD,1.826119082,Bond
Austria,YTD,-0.5198372216,FX
Azerbaijan,YTD,-25.31536206,Equity
Azerbaijan,YTD,-3.509624798,Bond
Azerbaijan,YTD,9.64875581,FX
Bahamas,YTD,15.36031489,Equity
Bahamas,YTD,1.663557806,Bond
Bahamas,YTD,-1.182400231,FX
Bahrain,YTD,13.31000973,Equity
Bahrain,YTD,0.1160196625,Bond
Bahrain,YTD,1.746590073,FX
Bangladesh,YTD,15.5814084,Equity
Bangladesh,YTD,6.669378207,Bond
Bangladesh,YTD,0.1972762561,FX
Barbados,YTD,30.17038959,Equity
Barbados,YTD,-5.571161266,Bond
Barbados,YTD,-2.210716028,FX
Belarus,YTD,-16.53116351,Equity
Belarus,YTD,7.1419129,Bond
Belarus,YTD,1.254378397,FX
Belgium,YTD,12.53847282,Equity
Belgium,YTD,10.80522741,Bond
Belgium,YTD,1.756416187,FX
Belize,YTD,-7.370251103,Equity
Belize,YTD,-5.542152013,Bond
